Disease,Specialist
Fungal infection,Dermatologist
Allergy,Allergist/Immunologist
GERD,Gastroenterologist
Chronic cholestasis,Hepatologist
Drug Reaction,Dermatologist/Allergist
Peptic ulcer disease,Gastroenterologist
AIDS,Infectious Disease Specialist
Diabetes,Endocrinologist
Gastroenteritis,Gastroenterologist
Bronchial Asthma,Pulmonologist
Hypertension,Cardiologist
Migraine,Neurologist
Cervical spondylosis,Orthopedist/Neurologist
Paralysis (brain hemorrhage),Neurologist
Jaundice,Hepatologist
Malaria,Infectious Disease Specialist
Chicken pox,Dermatologist
Dengue,Infectious Disease Specialist
Typhoid,Infectious Disease Specialist
hepatitis A,Hepatologist
Hepatitis B,Hepatologist
Hepatitis C,Hepatologist
Hepatitis D,Hepatologist
Hepatitis E,Hepatologist
Alcoholic hepatitis,Hepatologist
Tuberculosis,Pulmonologist
Common Cold,General Practitioner
Pneumonia,Pulmonologist
Dimorphic hemorrhoids(piles),Gastroenterologist
Heart attack,Cardiologist
Varicose veins,Vascular Surgeon
Hypothyroidism,Endocrinologist
Hyperthyroidism,Endocrinologist
Hypoglycemia,Endocrinologist
Osteoarthritis,Orthopedist
Arthritis,Rheumatologist
(vertigo) Paroxysmal Positional Vertigo,Neurologist/ENT Specialist
Acne,Dermatologist
Urinary tract infection,Urologist
Psoriasis,Dermatologist
Impetigo,Dermatologist
